wavelength_nm,Spectral_Irradiance_W_m2_nm
843.0,0.683442
844.0,0.671327
845.0,0.692696
846.0,0.695016
847.0,0.677395
848.0,0.678516
849.0,0.675065
850.0,0.612631
851.0,0.669085
852.0,0.665982
853.0,0.66373
854.0,0.586175
855.0,0.629528
856.0,0.671801
857.0,0.685365
858.0,0.686372
859.0,0.686999
860.0,0.685337
861.0,0.685182
862.0,0.691331
863.0,0.696316
864.0,0.682253
865.0,0.671938
866.0,0.592931
867.0,0.640084
868.0,0.67144
869.0,0.665458
870.0,0.678846
871.0,0.670017
872.0,0.679921
873.0,0.673907
874.0,0.662844
875.0,0.654041
876.0,0.673086
877.0,0.676245
878.0,0.674339
879.0,0.6639
880.0,0.666792
881.0,0.645553
882.0,0.663243
883.0,0.66173
884.0,0.665174
885.0,0.673906
886.0,0.648438
887.0,0.651387
888.0,0.660471
889.0,0.670012
890.0,0.663143
891.0,0.665261
892.0,0.653757
893.0,0.628895
894.0,0.61376
895.0,0.587214
896.0,0.550989
897.0,0.48153
898.0,0.519826
899.0,0.397815
900.0,0.538984
901.0,0.435481
902.0,0.485851
903.0,0.501667
904.0,0.615719
905.0,0.596344
906.0,0.566674
907.0,0.467061
908.0,0.477557
909.0,0.516305
910.0,0.458427
911.0,0.490823
912.0,0.506697
913.0,0.462641
914.0,0.461784
915.0,0.500564
916.0,0.425837
917.0,0.539972
918.0,0.438797
919.0,0.547524
920.0,0.552104
921.0,0.579703
922.0,0.520677
923.0,0.554574
924.0,0.537634
925.0,0.530458
926.0,0.525214
927.0,0.58866
928.0,0.441309
929.0,0.413008
930.0,0.324075
931.0,0.307238
932.0,0.22613
933.0,0.186908
934.0,0.108314
935.0,0.189141
936.0,0.121846
937.0,0.123457
938.0,0.151729
939.0,0.302048
940.0,0.357662
941.0,0.282262
942.0,0.307912
943.0,0.211673
944.0,0.217569
945.0,0.280612
946.0,0.148469
947.0,0.283428
948.0,0.209653
949.0,0.378039
950.0,0.11282
951.0,0.371028
952.0,0.206453
953.0,0.264089
954.0,0.326291
955.0,0.262756
956.0,0.253039
957.0,0.208896
958.0,0.356167
959.0,0.289131
960.0,0.325672
961.0,0.35743
962.0,0.342705
963.0,0.392213
964.0,0.356525
965.0,0.392023
966.0,0.391658
967.0,0.391791
968.0,0.509059
969.0,0.536248
970.0,0.496429
971.0,0.559085
972.0,0.539029
973.0,0.475891
974.0,0.451881
975.0,0.463809
976.0,0.450149
977.0,0.503187
978.0,0.485127
979.0,0.50383
980.0,0.477892
981.0,0.564376
982.0,0.548162
983.0,0.530067
984.0,0.585099
985.0,0.546651
986.0,0.597031
987.0,0.588443
988.0,0.585326
989.0,0.597436
990.0,0.584635
991.0,0.602256
992.0,0.600816
993.0,0.590419
994.0,0.604496
995.0,0.603227
996.0,0.601488
997.0,0.594751
998.0,0.594671
999.0,0.595025
1000.0,0.593
1001.0,0.600939
1002.0,0.588311
1003.0,0.594051
1004.0,0.585688
1005.0,0.552539
1006.0,0.578061
1007.0,0.590825
1008.0,0.590859
1009.0,0.585643
1010.0,0.585751
1011.0,0.589299
1012.0,0.586609
1013.0,0.586241
1014.0,0.58933
1015.0,0.579671
1016.0,0.582799
1017.0,0.576877
